park,spot,status
North Freight Yard,A01,1
North Freight Yard,A02,0
North Freight Yard,A03,1
North Freight Yard,A04,0
North Freight Yard,A05,0
North Freight Yard,A06,1
North Freight Yard,A07,0
North Freight Yard,A08,1
North Freight Yard,B01,0
North Freight Yard,B02,0
North Freight Yard,B03,1
North Freight Yard,B04,1
North Freight Yard,B05,0
North Freight Yard,B06,0
North Freight Yard,B07,1
North Freight Yard,B08,0
North Freight Yard,C01,1
North Freight Yard,C02,1
North Freight Yard,C03,0
North Freight Yard,C04,0
North Freight Yard,C05,1
North Freight Yard,C06,0
North Freight Yard,C07,0
North Freight Yard,C08,1
North Freight Yard,D01,0
North Freight Yard,D02,1
North Freight Yard,D03,0
North Freight Yard,D04,1
North Freight Yard,D05,0
North Freight Yard,D06,0
North Freight Yard,D07,1
North Freight Yard,D08,0
South Industrial Depot,A01,1
South Industrial Depot,A02,0
South Industrial Depot,A03,1
South Industrial Depot,A04,0
South Industrial Depot,A05,0
South Industrial Depot,A06,1
South Industrial Depot,A07,0
South Industrial Depot,A08,0
South Industrial Depot,B01,0
South Industrial Depot,B02,1
South Industrial Depot,B03,0
South Industrial Depot,B04,1
South Industrial Depot,B05,1
South Industrial Depot,B06,0
South Industrial Depot,B07,0
South Industrial Depot,B08,1
South Industrial Depot,C01,0
South Industrial Depot,C02,0
South Industrial Depot,C03,1
South Industrial Depot,C04,0
South Industrial Depot,C05,1
South Industrial Depot,C06,0
South Industrial Depot,C07,1
South Industrial Depot,C08,0
East Logistics Hub,A01,0
East Logistics Hub,A02,1
East Logistics Hub,A03,0
East Logistics Hub,A04,0
East Logistics Hub,A05,1
East Logistics Hub,B01,0
East Logistics Hub,B02,0
East Logistics Hub,B03,1
East Logistics Hub,B04,0
East Logistics Hub,B05,0
East Logistics Hub,C01,1
East Logistics Hub,C02,0
East Logistics Hub,C03,0
East Logistics Hub,C04,1
East Logistics Hub,C05,0
East Logistics Hub,D01,0
East Logistics Hub,D02,0
East Logistics Hub,D03,1
East Logistics Hub,D04,0
East Logistics Hub,D05,0
West Distribution Center,A01,1
West Distribution Center,A02,1
West Distribution Center,A03,0
West Distribution Center,A04,1
West Distribution Center,A05,0
West Distribution Center,A06,1
West Distribution Center,A07,1
West Distribution Center,B01,1
West Distribution Center,B02,0
West Distribution Center,B03,1
West Distribution Center,B04,1
West Distribution Center,B05,0
West Distribution Center,B06,1
West Distribution Center,B07,0
West Distribution Center,C01,0
West Distribution Center,C02,1
West Distribution Center,C03,1
West Distribution Center,C04,0
West Distribution Center,C05,1
West Distribution Center,C06,1
West Distribution Center,C07,0
West Distribution Center,D01,1
West Distribution Center,D02,0
West Distribution Center,D03,1
West Distribution Center,D04,1
West Distribution Center,D05,0
West Distribution Center,D06,1
West Distribution Center,D07,1
